target,word,similarity
ma,meaning,0.4700604975
ma,atmosphere,0.4674617052
ma,essence,0.4642495513
ma,perception,0.4487588108
ma,togetherness,0.4466722608
ma,dance,0.4449688792
ma,experience,0.4346542656
ma,sensory,0.4337988794
ma,dialogical,0.4297462702
ma,sleeping,0.4279698133
mu,resonance,0.4363555014
mu,consciousness,0.4340548217
mu,novel,0.4242606461
mu,shiki,0.4203377366
mu,poem,0.4073220193
mu,emptiness,0.4059907496
mu,ma,0.3989941776
mu,uncertainty,0.3975594938
mu,duality,0.3932157755
mu,word,0.3923280835
wabi,calthorpe,0.4704444408
wabi,behrens,0.4657761157
wabi,zumthor,0.4581897855
wabi,watarai,0.4362582266
wabi,tamagaki,0.4322487116
wabi,ryōbu,0.4283831418
wabi,mirrors,0.4190958142
wabi,holkham,0.4184651375
wabi,eisenman,0.4180385768
wabi,patina,0.4163868725
sabi,hi,0.5273672342
sabi,cha,0.4792324007
sabi,ornately,0.4723441005
sabi,beauty,0.464947015
sabi,crystallizee,0.4562601149
sabi,fordist,0.4513971806
sabi,phaestus,0.4484451413
sabi,imperfect,0.4415929914
sabi,imperfection,0.4359416366
sabi,weathering,0.412664324
en,stream,0.4692944884
en,pond,0.4626487195
en,waterfall,0.4561976492
en,moon,0.452259928
en,reed,0.4485369027
en,engawa,0.4450722039
en,kabul,0.4262777269
en,sankei,0.42180112
en,promenade,0.3975446522
en,niwa,0.3934008777
engawa,floor,0.4635801017
engawa,open,0.4598389268
engawa,ground,0.4536932707
engawa,en,0.4450722635
engawa,storehouse,0.4437344074
engawa,essence,0.439560622
engawa,moya,0.4267430007
engawa,sit,0.417429477
engawa,ma,0.4156526029
engawa,tatami,0.4146254063
shōji,slide,0.7123504877
shōji,door,0.6368148923
shōji,paper,0.627904892
shōji,translucent,0.6032370925
shōji,shutter,0.5921327472
shōji,lattice,0.5871443152
shōji,fusuma,0.5636367202
shōji,hang,0.5615411401
shōji,groove,0.5375105143
shōji,ama,0.5208811164
fusuma,partition,0.6010231376
fusuma,shōji,0.5636367202
fusuma,slide,0.5597935319
fusuma,alcove,0.4939697683
fusuma,door,0.4887121022
fusuma,screen,0.4627844393
fusuma,cupboard,0.4509904683
fusuma,kake,0.4493522048
fusuma,paper,0.4308488965
fusuma,storage,0.417092979
tokonoma,shelving,0.5836874843
tokonoma,shelf,0.5523185134
tokonoma,room,0.5291641355
tokonoma,mat,0.5153966546
tokonoma,staggered,0.5040627718
tokonoma,desk,0.48391518
tokonoma,alcove,0.4831162393
tokonoma,tatami,0.4577488303
tokonoma,hang,0.4448314905
tokonoma,dōjinsai,0.4365724623
chigaidana,alcove,0.6001601219
chigaidana,shelf,0.4538878798
chigaidana,cupboard,0.4462411106
chigaidana,seiza,0.4263159633
chigaidana,vase,0.4150642753
chigaidana,hang,0.4107043743
chigaidana,shelving,0.4049797654
chigaidana,tokonoma,0.4000440538
chigaidana,upward,0.3949889541
chigaidana,room,0.3871746063
doma,earthfloored,0.5240012407
doma,medianum,0.5131376386
doma,mountainous,0.4847621918
doma,sleeping,0.468131572
doma,floor,0.4490192235
doma,storage,0.4389066994
doma,outdoor,0.4378425181
doma,floored,0.4217734039
doma,kitchen,0.4197744727
doma,living,0.4125500023
