target,word,count
ma,space,26
ma,ishi,12
ma,experience,12
ma,ai,11
ma,mean,10
ma,concept,10
ma,japanese,9
ma,room,8
ma,moment,8
ma,dance,8
mu,kōan,5
mu,japanese,5
mu,use,5
mu,concept,5
mu,essence,4
mu,point,4
mu,void,4
mu,oval,4
mu,chinese,3
mu,word,3
wabi,aesthetic,47
wabi,japanese,37
wabi,beauty,20
wabi,design,20
wabi,tea,18
wabi,style,15
wabi,world,14
wabi,art,13
wabi,principle,11
wabi,ideal,11
sabi,aesthetic,45
sabi,japanese,36
sabi,beauty,21
sabi,design,18
sabi,imperfection,13
sabi,world,12
sabi,art,12
sabi,object,10
sabi,ideal,10
sabi,style,10
en,yard,20
en,kenroku,14
en,sankei,10
en,japanese,9
en,building,6
en,kōraku,5
en,lantern,5
en,know,5
en,low,5
en,run,5
engawa,space,13
engawa,house,10
engawa,japanese,9
engawa,traditional,8
engawa,surround,7
engawa,outside,7
engawa,building,7
engawa,veranda,6
engawa,use,6
engawa,yard,5
shōji,paper,43
shōji,slide,42
shōji,door,33
shōji,use,33
shōji,glass,22
shōji,panel,21
shōji,screen,19
shōji,room,17
shōji,window,14
shōji,japanese,14
fusuma,slide,15
fusuma,door,13
fusuma,use,13
fusuma,room,10
fusuma,screen,7
fusuma,paper,6
fusuma,panel,5
fusuma,opaque,5
fusuma,separate,4
fusuma,space,3
tokonoma,alcove,17
tokonoma,room,16
tokonoma,display,8
tokonoma,recess,7
tokonoma,flower,7
tokonoma,tea,7
tokonoma,build,6
tokonoma,painting,5
tokonoma,japanese,5
tokonoma,scroll,5
chigaidana,shelf,5
chigaidana,build,4
chigaidana,room,2
chigaidana,shoin,2
chigaidana,object,2
chigaidana,wall,2
chigaidana,set,1
chigaidana,decorate,1
chigaidana,thing,1
chigaidana,arise,1
doma,house,4
doma,floor,4
doma,space,4
doma,area,4
doma,raise,3
doma,living,3
doma,service,3
doma,earthen,2
doma,adjacent,2
doma,earthfloored,2
genkan,entrance,4
genkan,hall,3
genkan,vestibule,2
genkan,room,1
genkan,include,1
genkan,foyer,1
genkan,butsuma,1
genkan,naka,1
genkan,oku,1
genkan,emerge,1
tomeishi,sekimori,2
tomeishi,ishi,2
tomeishi,yard,2
tomeishi,dear,1
tomeishi,miranda,1
tomeishi,duly,1
tomeishi,divert,1
tomeishi,use,1
tomeishi,descriptive,1
tomeishi,nowadays,1
ikezuishi,word,2
ikezuishi,malicious,2
ikezuishi,corner,2
ikezuishi,stone,2
ikezuishi,find,2
ikezuishi,kyōto,2
ikezuishi,use,2
ikezuishi,compose,1
ikezuishi,ikezu,1
ikezuishi,mean,1
shakkei,yard,19
shakkei,scenery,17
shakkei,borrow,12
shakkei,use,8
shakkei,technique,6
shakkei,example,4
shakkei,know,4
shakkei,japanese,4
shakkei,yarding,4
shakkei,concept,4
roji,yard,4
roji,tea,3
roji,development,3
roji,house,2
roji,alternatively,2
roji,refer,2
roji,tooridoma,2
roji,toori,2
roji,room,1
roji,amenity,1
torii,shrine,43
torii,myōjin,29
torii,pillar,20
torii,shinmei,17
torii,daiwa,17
torii,inari,16
torii,style,16
torii,entrance,15
torii,miwa,15
torii,shinto,14
shimenawa,taiwan,7
shimenawa,japan,6
shimenawa,know,5
shimenawa,use,5
shimenawa,rope,4
shimenawa,produce,4
shimenawa,sacred,3
shimenawa,consist,3
shimenawa,mail,3
shimenawa,japanese,3
tsuboniwa,yard,11
tsuboniwa,small,5
tsuboniwa,space,4
tsuboniwa,find,4
tsuboniwa,tsubo,3
tsuboniwa,contain,3
tsuboniwa,courtyard,3
tsuboniwa,feature,3
tsuboniwa,japanese,2
tsuboniwa,unit,2
byōbu,panel,8
byōbu,screen,6
byōbu,painting,5
byōbu,produce,5
byōbu,period,5
byōbu,fold,4
byōbu,right,4
byōbu,art,4
byōbu,use,3
byōbu,decorate,3
hisashi,surround,13
hisashi,moya,12
hisashi,ken,10
hisashi,roof,9
hisashi,wide,8
hisashi,core,8
hisashi,aisle,7
hisashi,cover,7
hisashi,pent,6
hisashi,veranda,5
haiden,hall,11
haiden,worship,9
haiden,century,5
haiden,offering,4
haiden,prayer,4
haiden,oratory,4
haiden,roof,3
haiden,offer,3
haiden,usually,3
haiden,example,3
sandō,rear,11
sandō,entrance,11
sandō,omote,9
sandō,main,9
sandō,approach,8
sandō,shrine,8
sandō,ura,8
sandō,road,5
sandō,komainu,5
sandō,lead,4
aware,mono,13
aware,japanese,10
aware,thing,7
aware,term,6
aware,aesthetic,5
aware,world,4
aware,design,4
aware,use,4
aware,transience,4
aware,distinct,3
honden,shrine,37
honden,example,13
honden,taisha,13
honden,ken,12
honden,kami,10
honden,zukuri,9
honden,roof,9
honden,style,8
honden,building,7
honden,sanctuary,6
chashitsu,tea,20
chashitsu,room,13
chashitsu,tatami,7
chashitsu,build,6
chashitsu,design,5
chashitsu,mat,5
chashitsu,ceremony,5
chashitsu,small,5
chashitsu,use,5
chashitsu,villa,4
karesansui,yard,13
karesansui,rock,8
karesansui,dry,5
karesansui,zen,4
karesansui,japanese,4
karesansui,landscape,4
karesansui,place,3
karesansui,gravel,2
karesansui,ryōan,2
karesansui,ji,2
