target,word,similarity
ma,intense,0.6253801584
ma,locally,0.6245750785
ma,distinctive,0.6244921684
ma,remote,0.6242644787
ma,visible,0.6237826347
ma,fundamental,0.6210851669
ma,striking,0.6205944419
ma,vital,0.6186906695
ma,unusual,0.616904974
ma,easily,0.6162313819
mu,legendary,0.6004865766
mu,remote,0.6001202464
mu,fundamental,0.5993577242
mu,intense,0.5957643986
mu,locally,0.5939936638
mu,unusual,0.5919975042
mu,visible,0.5914130211
mu,valid,0.5908395052
mu,vital,0.5878123641
mu,distinctive,0.5877199769
wabi,locally,0.5956983566
wabi,distinctive,0.5943401456
wabi,characteristic,0.5909619927
wabi,visible,0.5907324553
wabi,remote,0.5902609825
wabi,intense,0.5902161598
wabi,vital,0.5900266171
wabi,unusual,0.5892329216
wabi,ideal,0.5891808271
wabi,legendary,0.5885437727
sabi,intense,0.5954499245
sabi,locally,0.5954113007
sabi,remote,0.5931459665
sabi,distinctive,0.5928884745
sabi,vital,0.5925573707
sabi,mysterious,0.5919625163
sabi,legendary,0.5913186073
sabi,ideal,0.5905178785
sabi,unusual,0.5903581381
sabi,fundamental,0.5899034142
wabi_sabi,distinctive,0.6096037626
wabi_sabi,visible,0.6062181592
wabi_sabi,mysterious,0.6061190963
wabi_sabi,intense,0.6060597301
wabi_sabi,locally,0.6060014963
wabi_sabi,striking,0.6043998003
wabi_sabi,characteristic,0.6038383245
wabi_sabi,ideal,0.6025567055
wabi_sabi,remote,0.6024680138
wabi_sabi,fundamental,0.6022103429
en,locally,0.6087501049
en,distinctive,0.60823524
en,striking,0.6078370214
en,legendary,0.6070148349
en,visible,0.6045074463
en,unusual,0.6018431187
en,remote,0.601226449
en,characteristic,0.5998830795
en,fundamental,0.5976138115
en,cross,0.5964850187
engawa,visible,0.6175579429
engawa,distinctive,0.6159262657
engawa,locally,0.6141374111
engawa,striking,0.6137836576
engawa,characteristic,0.6102129221
engawa,remote,0.6086825132
engawa,unusual,0.6034532189
engawa,dense,0.6022275686
engawa,fundamental,0.6005220413
engawa,transparent,0.5999490023
shōji,dense,0.6137758493
shōji,locally,0.6137574911
shōji,distinctive,0.609700799
shōji,transparent,0.6078622341
shōji,striking,0.6073023081
shōji,visible,0.6062163711
shōji,cross,0.6039587259
shōji,barrier,0.6010501385
shōji,remote,0.6009240746
shōji,permanent,0.5988880396
fusuma,dense,0.5917389393
fusuma,locally,0.5882248878
fusuma,distinctive,0.5854586363
fusuma,striking,0.5846191645
fusuma,transparent,0.5837225914
fusuma,permanent,0.5835912824
fusuma,characteristic,0.5817223787
fusuma,cross,0.579906702
fusuma,visible,0.5792453289
fusuma,remote,0.5766012669
tokonoma,cross,0.5889851451
tokonoma,locally,0.5861712098
tokonoma,distinctive,0.5859826207
tokonoma,characteristic,0.583403945
tokonoma,document,0.5823074579
tokonoma,striking,0.5815668106
tokonoma,dense,0.5803079009
tokonoma,visible,0.5789928436
tokonoma,remote,0.5779542327
tokonoma,permanent,0.5779291391
chigaidana,locally,0.6017097831
chigaidana,distinctive,0.6012746096
chigaidana,dense,0.6004605889
chigaidana,cross,0.5995155573
chigaidana,striking,0.5974969864
chigaidana,visible,0.5951083302
chigaidana,characteristic,0.5950545073
chigaidana,remote,0.5919076204
chigaidana,familiar,0.5886406898
chigaidana,legendary,0.5886166096
doma,locally,0.5708488822
doma,dense,0.5705637336
doma,remote,0.5674128532
doma,familiar,0.5634220243
doma,visible,0.562651515
doma,permanent,0.5626376271
doma,distinctive,0.5614968538
doma,cross,0.5580807924
doma,characteristic,0.5570563674
doma,extended,0.5550458431
genkan,locally,0.6124455929
genkan,remote,0.6084385514
genkan,distinctive,0.6077544689
genkan,characteristic,0.6057007313
genkan,ordinary,0.6053903103
genkan,dense,0.6036367416
genkan,visible,0.6035019755
genkan,permanent,0.6024223566
genkan,striking,0.6010723114
genkan,cross,0.599928081
tomeishi,visible,0.6666224003
tomeishi,remote,0.6582760811
tomeishi,locally,0.6536333561
tomeishi,striking,0.6530305147
tomeishi,distinctive,0.652277112
tomeishi,cross,0.6518025398
tomeishi,tier,0.6478258371
tomeishi,legendary,0.6476854086
tomeishi,document,0.6461927295
tomeishi,transparent,0.6449613571
ikezuishi,remote,0.6158267856
ikezuishi,locally,0.6103357077
ikezuishi,legendary,0.6100792885
ikezuishi,distinctive,0.6062539816
ikezuishi,fundamental,0.606097579
ikezuishi,valid,0.6060172319
ikezuishi,visible,0.6035804749
ikezuishi,express,0.6032037139
ikezuishi,intense,0.6023598909
ikezuishi,cross,0.6018677354
shakkei,visible,0.6085166931
shakkei,striking,0.6083391309
shakkei,distinctive,0.6075459123
shakkei,locally,0.6071648002
shakkei,remote,0.601467967
shakkei,characteristic,0.6013196707
shakkei,intense,0.5991256237
shakkei,unusual,0.5987780094
shakkei,legendary,0.5985305309
shakkei,dense,0.5983582735
roji,locally,0.5981091261
roji,remote,0.5947936177
roji,legendary,0.5881983638
roji,familiar,0.5881616473
roji,visible,0.5874252915
roji,dense,0.5865643024
roji,distinctive,0.5859986544
roji,cross,0.5843357444
roji,characteristic,0.584256649
roji,valuable,0.5837608576
torii,legendary,0.6157482862
torii,distinctive,0.6145578623
torii,cross,0.6136232615
