target,word,similarity
ma,improvisation,0.6554605365
ma,togetherness,0.6193189025
ma,atmosphere,0.6124048829
ma,psychotherapeutic,0.6089337468
ma,interpersonal,0.6002207398
ma,improviser,0.5964092612
ma,yohaku,0.5935533047
ma,tae,0.5912722349
ma,intersubjective,0.5761139393
ma,dialogical,0.5634092093
mu,phrase,0.5288814306
mu,transmission,0.5131473541
mu,void,0.4929686785
mu,aware,0.4809439778
mu,ma,0.4717086554
mu,benesse,0.4659308493
mu,aidagara,0.4651157558
mu,hashi,0.4624343216
mu,lazarin,0.462336272
mu,word,0.4582865238
wabi,sabi,0.9338021874
wabi,imperfection,0.7561717033
wabi,embracing,0.7095239162
wabi,beauty,0.6939348578
wabi,aesthetic,0.6635130048
wabi,patina,0.6553304791
wabi,iki,0.6505798101
wabi,shibui,0.6336192489
wabi,mindful,0.6221964955
wabi,delve,0.6186650991
sabi,wabi,0.933802247
sabi,imperfection,0.7595630884
sabi,beauty,0.7056687474
sabi,iki,0.6831543446
sabi,embracing,0.6749196649
sabi,shibui,0.6605526805
sabi,aesthetic,0.6534760594
sabi,patina,0.6503155828
sabi,imperfect,0.6494674087
sabi,desolation,0.6421220303
en,kōraku,0.645326376
en,kenroku,0.6123580933
en,sankei,0.5958895087
en,rikugi,0.5639215708
en,bonsai,0.4931054115
en,hara,0.4836387038
en,pond,0.4683776498
en,cascade,0.4534288347
en,suizen,0.4448752105
en,moon,0.4360955656
engawa,outside,0.5753960609
engawa,shōji,0.5624440312
engawa,ama,0.5304560661
engawa,slide,0.5291552544
engawa,floorboard,0.5156199932
engawa,paper,0.5057861805
engawa,open,0.503167212
engawa,veranda,0.5022367239
engawa,closet,0.5003199577
engawa,garasu,0.4984703958
shōji,slide,0.8910107613
shōji,translucent,0.8005734086
shōji,fusuma,0.7878727913
shōji,paper,0.7630745769
shōji,door,0.731321156
shōji,kake,0.7165346146
shōji,garasu,0.7082814574
shōji,katabiki,0.706160903
shōji,sandwich,0.6885427237
shōji,shutter,0.6713175774
fusuma,shōji,0.7878728509
fusuma,slide,0.7843405604
fusuma,paper,0.6841751933
fusuma,screen,0.6660121679
fusuma,partition,0.6643924713
fusuma,kake,0.6484670639
fusuma,closet,0.6447120309
fusuma,opaque,0.6316218376
fusuma,maira,0.6265944242
fusuma,door,0.6196895838
tokonoma,alcove,0.8074960113
tokonoma,chigaidana,0.71421808
tokonoma,room,0.6842892766
tokonoma,shelving,0.6785385013
tokonoma,shelf,0.6485998631
tokonoma,toko,0.6389824748
tokonoma,staggered,0.6096407771
tokonoma,tatami,0.590372026
tokonoma,desk,0.5730053186
tokonoma,tana,0.5664155483
chigaidana,shelf,0.7449628711
chigaidana,staggered,0.7182812691
chigaidana,tokonoma,0.7142179608
chigaidana,alcove,0.6832869053
chigaidana,desk,0.5807006359
chigaidana,shelving,0.5762782693
chigaidana,toko,0.5716046095
chigaidana,tsuke,0.5447919369
chigaidana,ledge,0.5401545763
chigaidana,shoin,0.5381948352
doma,earthfloored,0.7402071357
doma,floored,0.7038682103
doma,daidokoro,0.6837612391
doma,tooriniwa,0.6638755798
doma,sleeping,0.6487637162
doma,kitchen,0.6208566427
doma,tōriniwa,0.6190090179
doma,medianum,0.611277163
doma,niwa,0.5908668041
doma,floor,0.5712960958
genkan,sleeping,0.5884863734
genkan,antechamber,0.5764129758
genkan,vestibule,0.5291157365
genkan,irori,0.5269703269
genkan,daidokoro,0.5146582127
genkan,rear,0.513440609
genkan,foyer,0.5118641257
genkan,naka,0.5082133412
genkan,doma,0.5065860748
genkan,mise,0.5000356436
tomeishi,sekimori,0.6060467362
tomeishi,ishi,0.5351352096
tomeishi,walk,0.4656929076
tomeishi,ikezuishi,0.4622750282
tomeishi,stay,0.460180819
tomeishi,niwa,0.457542628
tomeishi,tobi,0.4558303058
tomeishi,swinge,0.4293210208
tomeishi,tsukubai,0.4235736132
tomeishi,chang,0.4230451584
ikezuishi,malicious,0.644839108
ikezuishi,ikezu,0.5743107796
ikezuishi,homeowner,0.4818711579
ikezuishi,stepping,0.4754189849
ikezuishi,tomeishi,0.4622749686
ikezuishi,donot,0.4504683018
ikezuishi,ishi,0.4379185438
ikezuishi,twine,0.4286625981
ikezuishi,crisscross,0.4249609113
ikezuishi,shoreline,0.4247205853
shakkei,scenery,0.7856839299
shakkei,borrow,0.6299341321
shakkei,yuanye,0.6114885807
shakkei,ikedori,0.6106643677
shakkei,pogue,0.5520153046
shakkei,yard,0.5416039228
shakkei,unexpected,0.4918550849
shakkei,conclusive,0.4804975986
shakkei,landscape,0.4746472239
shakkei,promenade,0.435269773
roji,chashitsu,0.5465303659
roji,chanoyu,0.5320398211
roji,hiroma,0.4723547995
roji,zashiki,0.4679853916
roji,tea,0.4657113254
roji,taian,0.4654424489
roji,adachi,0.4646432698
roji,stroll,0.4645885527
roji,ceremony,0.4518659115
roji,sadō,0.4505520463
torii,myōjin,0.821392417
torii,daiwa,0.7662808895
torii,myoujin,0.7399079204
torii,miwa,0.7154538035
torii,shimaki,0.711038053
torii,kasuga,0.6807920337
torii,shinmei,0.6671110392
torii,kasagi,0.661803484
torii,gakuzuka,0.6363716722
torii,nakayama,0.6323876977
shimenawa,rope,0.5303552151
shimenawa,buyer,0.5050597787
shimenawa,torii,0.5047312975
shimenawa,fuzzy,0.4729908407
shimenawa,harvest,0.4668113589
shimenawa,matsuri,0.4476136267
shimenawa,nuki,0.4325701296
shimenawa,autumn,0.4203007519
shimenawa,taiwan,0.4188576639
shimenawa,rice,0.4148904681
tsuboniwa,niwa,0.590759635
tsuboniwa,daidokoro,0.512003243
tsuboniwa,doma,0.5004087687
tsuboniwa,sakuteiki,0.4486275613
tsuboniwa,bonsai,0.4477522969
tsuboniwa,tsubo,0.4401735663
tsuboniwa,shady,0.435111165
tsuboniwa,earthfloored,0.4347428679
tsuboniwa,spelling,0.4323551953
tsuboniwa,ochimune,0.4298452139
byōbu,screen,0.6867032647
byōbu,fold,0.6162285209
byōbu,fusuma,0.6061041355
byōbu,sato,0.5929941535
byōbu,cloth,0.571115315
byōbu,hang,0.5700111985
byōbu,opaque,0.5678778291
byōbu,shōji,0.5647299886
byōbu,kichō,0.5600534081
byōbu,slide,0.5563004613
hisashi,moya,0.777684629
hisashi,ken,0.6886286139
hisashi,mokoshi,0.6628561616
hisashi,pent,0.629563868
hisashi,roofed,0.5805117488
hisashi,nijūmon,0.5698426962
hisashi,naiden,0.558439672
hisashi,encircle,0.5571036935
hisashi,surround,0.5420613289
hisashi,irimoya,0.5344097614
haiden,honden,0.7090296149
haiden,heiden,0.6675599813
haiden,ura,0.563478291
haiden,rōmon,0.5544603467
haiden,omote,0.5412666798
haiden,shrine,0.5292872787
haiden,rear,0.5224661827
haiden,kairō,0.5207199454
haiden,sandō,0.5134117603
haiden,enshrine,0.4972870946
sandō,ura,0.8512462378
sandō,omote,0.7961829305
sandō,straddle,0.6111151576
sandō,komainu,0.5435402393
sandō,honden,0.5333465934
sandō,categorizee,0.5176615715
sandō,haiden,0.5134117603
sandō,entrance,0.4999678135
sandō,torii,0.4793274105
sandō,rear,0.4726008773
aware,mono,0.6480543017
aware,transience,0.5804935098
aware,thing,0.5721780658
aware,feeling,0.5340474844
aware,sense,0.5142406821
aware,emotion,0.5124452114
aware,void,0.5106737018
aware,awareness,0.5012744069
aware,hashi,0.4881952107
aware,miyabi,0.4833182991
honden,haiden,0.7090296149
honden,kasuga,0.6496398449
honden,taisha,0.6413434744
honden,shrine,0.6326623559
honden,nagare,0.629237473
honden,shinmei,0.5967518091
honden,ōmiwa,0.5850404501
honden,sessha,0.5755796432
honden,enshrine,0.5748732686
honden,rōmon,0.571852684
chashitsu,taian,0.6849467158
chashitsu,chanoyu,0.6661670208
chashitsu,tea,0.6480494738
chashitsu,rikyū,0.6391857862
chashitsu,teahouse,0.6372932196
chashitsu,dōjinsai,0.6323402524
chashitsu,guest,0.6294208169
chashitsu,room,0.6168705225
chashitsu,sen,0.6100118756
chashitsu,shoin,0.6091141701
karesansui,rock,0.6168115735
karesansui,yard,0.5973792672
karesansui,ryōan,0.5909742713
karesansui,nitschke,0.527716279
karesansui,pond,0.5204233527
karesansui,gunter,0.5177286863
karesansui,sand,0.5077075362
karesansui,lawn,0.5028967261
karesansui,islet,0.5020068884
karesansui,moss,0.4935595095
