target,word,similarity
ma,sense,0.5630643368
ma,meaning,0.5391591191
ma,performer,0.5268692374
ma,mean,0.4783402681
ma,feeling,0.4660759568
ma,word,0.4627713263
ma,dance,0.4574353695
ma,atmosphere,0.4552222788
ma,space,0.4503061771
ma,moment,0.4466173947
mu,resonance,0.4762015939
mu,explain,0.4100343287
mu,translate,0.4048567414
mu,read,0.4021090269
mu,novel,0.4001699388
mu,wu,0.3998087347
mu,wisdom,0.3949333727
mu,essence,0.3918221593
mu,gōngàn,0.3810386062
mu,muso,0.3788791299
wabi,appreciation,0.4421904087
wabi,texture,0.4093202651
wabi,properties,0.4070054591
wabi,charm,0.4052466452
wabi,value,0.4011853337
wabi,harmonious,0.390429318
wabi,japanese,0.3890731633
wabi,bright,0.3885156512
wabi,oregon,0.3884274065
wabi,patina,0.3848532438
sabi,beauty,0.6009501219
sabi,imperfect,0.5061776638
sabi,loneliness,0.4692307711
sabi,encyclopedia,0.4432850182
sabi,imperfection,0.4369625151
sabi,cha,0.4228849411
sabi,trent,0.4093818069
sabi,tudorbethan,0.4052045941
sabi,sense,0.4030237794
sabi,reader,0.3945147991
en,okayama,0.4524357319
en,sankei,0.4455163181
en,hara,0.433698684
en,prefecture,0.4090347588
en,byōdō,0.3896545172
en,cascade,0.3878673017
en,mention,0.3853097856
en,connect,0.3837876618
en,stream,0.3832996786
en,tree,0.3797932863
engawa,veranda,0.483301729
engawa,shōji,0.4079294205
engawa,avoid,0.4057132006
engawa,ama,0.4009691775
engawa,frame,0.3997111619
engawa,open,0.3790461421
engawa,liken,0.3779855072
engawa,shutter,0.3731560111
engawa,door,0.3709561527
engawa,box,0.3676205575
shōji,door,0.7025451064
shōji,slide,0.6906780005
shōji,paper,0.5713080764
shōji,shutter,0.5576335788
shōji,fusuma,0.5520371199
shōji,translucent,0.5480626225
shōji,panel,0.5330163836
shōji,lattice,0.528998971
shōji,ama,0.5263999104
shōji,groove,0.5207345486
fusuma,partition,0.5924773812
fusuma,shōji,0.5520371199
fusuma,door,0.483582139
fusuma,alcove,0.4776774347
fusuma,slide,0.4770791233
fusuma,translucent,0.4705330133
fusuma,tokonoma,0.4673517942
fusuma,paper,0.4649487138
fusuma,screen,0.4462110996
fusuma,yukimi,0.4355158806
tokonoma,room,0.5298854709
tokonoma,alcove,0.5225203037
tokonoma,shelf,0.5027121305
tokonoma,chashitsu,0.4698271155
tokonoma,desk,0.4697099328
tokonoma,fusuma,0.467351824
tokonoma,floor,0.4369536042
tokonoma,mat,0.4341918826
tokonoma,storage,0.4228378832
tokonoma,waiting,0.4178406894
chigaidana,alcove,0.5857402682
chigaidana,shelf,0.4533450007
chigaidana,kitchen,0.4516738951
chigaidana,desk,0.4169882536
chigaidana,slide,0.4144532979
chigaidana,tortoise,0.4134596884
chigaidana,recess,0.4101691544
chigaidana,agnes,0.4002360106
chigaidana,room,0.3911327422
chigaidana,hang,0.3879864812
doma,floored,0.4893599749
doma,earthfloored,0.4541931152
doma,living,0.4455665648
doma,storage,0.4380989671
doma,sleeping,0.4275149107
doma,differentiation,0.4151311815
doma,dk,0.41497159
doma,sleep,0.4139926732
doma,kitchen,0.4103348255
doma,smoke,0.4103325307
genkan,unfilled,0.4380114377
genkan,hunstanton,0.3992986977
genkan,sunken,0.3913460076
genkan,register,0.3873819113
genkan,unpretentious,0.3871592283
genkan,finite,0.3641121686
genkan,listening,0.357145071
genkan,designation,0.3523947895
genkan,minami,0.3522509038
genkan,sidney,0.3510493934
tomeishi,sekimori,0.521414578
tomeishi,water,0.4428575337
tomeishi,food,0.4367116988
tomeishi,simply,0.4217837155
tomeishi,yama,0.4131471217
tomeishi,transport,0.4118880332
tomeishi,unroll,0.4096264541
tomeishi,incapable,0.4023880661
tomeishi,towel,0.3995736837
tomeishi,tiny,0.3987894058
ikezuishi,ikezu,0.4580962658
ikezuishi,phallic,0.4490829706
ikezuishi,malicious,0.4419910908
ikezuishi,machiya,0.4405355155
ikezuishi,ishi,0.4131313562
ikezuishi,hokura,0.3997825682
ikezuishi,rope,0.3853914142
ikezuishi,stepping,0.383082062
ikezuishi,pogue,0.3803547323
ikezuishi,hachimangū,0.3786024153
shakkei,borrow,0.5084227324
shakkei,scenery,0.4682430923
shakkei,pogue,0.4595168829
shakkei,yuanye,0.4488303959
shakkei,landscape,0.4406780303
shakkei,japanese,0.4121496081
shakkei,listening,0.4009902179
shakkei,yard,0.3998371959
shakkei,stream,0.3862658441
shakkei,iris,0.3750357032
roji,chanoyu,0.5541496277
roji,chashitsu,0.4596452713
roji,murata,0.4536313117
roji,foothold,0.4307149947
roji,kokushi,0.4060828984
roji,ryōan,0.4027666748
roji,tenryū,0.3903099597
roji,powder,0.3873048723
roji,cup,0.3854509592
roji,whisk,0.3743722737
torii,shrine,0.5848670006
torii,taisha,0.5466797352
torii,hachiman,0.5436441898
torii,myōjin,0.5258524418
torii,myoujin,0.5221166611
torii,jinja,0.5215067863
torii,gate,0.5128310919
torii,jingū,0.5089441538
torii,zukuri,0.5070468187
torii,nakayama,0.4887815416
shimenawa,distrust,0.3990515172
shimenawa,usa,0.3888253272
shimenawa,rice,0.3828391135
shimenawa,offering,0.3798418939
shimenawa,inari,0.3729604781
