target,word,similarity
ma,togetherness,0.6529307961
ma,performer,0.6320561767
ma,improvisation,0.5999096036
ma,improviser,0.5893336535
ma,psychotherapeutic,0.5889407992
ma,moment,0.5622383356
ma,intersubjective,0.5557186007
ma,interpersonal,0.5320181847
ma,ai,0.5317745805
ma,dori,0.5282985568
mu,aidagara,0.494851917
mu,bokeh,0.4923825562
mu,kan,0.4636415839
mu,dao,0.4619266689
mu,interpenetration,0.461158216
mu,hashi,0.453468442
mu,manifold,0.4470685124
mu,grapple,0.4467452466
mu,watsuji,0.437125504
mu,mind,0.4358687103
wabi,sabi,0.9286832213
wabi,embracing,0.7035286427
wabi,imperfection,0.7014251351
wabi,beauty,0.6889143586
wabi,aesthetic,0.664075315
wabi,shibui,0.6571452022
wabi,iki,0.6475710273
wabi,patina,0.6359555125
wabi,philosophers,0.6158258319
wabi,imperfect,0.5975116491
sabi,wabi,0.9286832809
sabi,beauty,0.7344654202
sabi,imperfection,0.724221766
sabi,embracing,0.6987626553
sabi,shibui,0.684982419
sabi,iki,0.6792911291
sabi,aesthetic,0.6712771058
sabi,patina,0.6680157185
sabi,imperfect,0.625833571
sabi,philosophers,0.6220475435
en,kōraku,0.6542719603
en,kenroku,0.6475709677
en,sankei,0.5950598121
en,rikugi,0.5652271509
en,bonsai,0.514590919
en,suizen,0.4932122231
en,pond,0.4466865063
en,engawa,0.4415421188
en,geppa,0.4092027843
en,rinshunkaku,0.4087313116
engawa,outside,0.5850749612
engawa,shōji,0.5779958963
engawa,shutter,0.5235161781
engawa,slide,0.5153540373
engawa,sunlight,0.4928909242
engawa,veranda,0.4809726179
engawa,space,0.4796175659
engawa,rain,0.4706285298
engawa,paper,0.4652372301
engawa,shitomi,0.4648813605
shōji,slide,0.8783601522
shōji,translucent,0.8053668737
shōji,paper,0.7824007869
shōji,garasu,0.7335541248
shōji,fusuma,0.7291612625
shōji,kake,0.7248418331
shōji,katabiki,0.6973273754
shōji,door,0.6851213574
shōji,partition,0.6829491258
shōji,sandwich,0.6787825227
fusuma,shōji,0.7291612625
fusuma,slide,0.7246127725
fusuma,partition,0.6967456341
fusuma,screen,0.6765207052
fusuma,sliding,0.6761196256
fusuma,paper,0.6456907988
fusuma,opaque,0.612141788
fusuma,byōbu,0.6114419699
fusuma,alcove,0.5980806351
fusuma,translucent,0.5966162682
tokonoma,alcove,0.7967342138
tokonoma,room,0.7141301632
tokonoma,chigaidana,0.6912552714
tokonoma,shelving,0.6463640332
tokonoma,desk,0.6323769689
tokonoma,toko,0.6289547086
tokonoma,recess,0.6159507632
tokonoma,shelf,0.6054365635
tokonoma,mat,0.594722271
tokonoma,tatami,0.591532886
chigaidana,tokonoma,0.691255331
chigaidana,alcove,0.6879213452
chigaidana,shelf,0.647103548
chigaidana,desk,0.5995088816
chigaidana,staggered,0.5968930721
chigaidana,hiroma,0.5686855316
chigaidana,shelving,0.5486646295
chigaidana,room,0.5413322449
chigaidana,dōjinsai,0.5395060778
chigaidana,hang,0.5043984056
doma,earthfloored,0.7634574771
doma,tooriniwa,0.6872897148
doma,floored,0.6359080076
doma,tōriniwa,0.6308829784
doma,mise,0.6011549234
doma,sleeping,0.5996193886
doma,daidokoro,0.5926152468
doma,kitchen,0.5800860524
doma,room,0.5743924975
doma,storage,0.5712195635
genkan,oku,0.6285070777
genkan,irori,0.6151326895
genkan,mise,0.5898032784
genkan,toko,0.5152407289
genkan,door,0.5145895481
genkan,fusuma,0.5118667483
genkan,naka,0.4782751799
genkan,slide,0.4771637022
genkan,paneled,0.4758556187
genkan,shelving,0.471726656
tomeishi,sekimori,0.7007138133
tomeishi,ishi,0.5723589063
tomeishi,niwa,0.4872244596
tomeishi,malicious,0.4770454466
tomeishi,ikezuishi,0.4652494192
tomeishi,rikyu,0.4578402638
tomeishi,verb,0.4561254978
tomeishi,tsukubai,0.45266065
tomeishi,chūden,0.449723959
tomeishi,pathway,0.4457961917
ikezuishi,malicious,0.6726056933
ikezuishi,ikezu,0.5553689003
ikezuishi,ishi,0.5344409943
ikezuishi,tomeishi,0.465249449
ikezuishi,spy,0.4498105943
ikezuishi,donot,0.4371039569
ikezuishi,chūden,0.4367837608
ikezuishi,walk,0.433270961
ikezuishi,machiya,0.4328655303
ikezuishi,sekimori,0.4216504693
shakkei,scenery,0.7773908973
shakkei,pogue,0.658590436
shakkei,ikedori,0.5994574428
shakkei,borrow,0.5892372131
shakkei,conclusive,0.5630925298
shakkei,yard,0.5385488272
shakkei,yuanye,0.5281775594
shakkei,landscape,0.518465519
shakkei,borrowing,0.4754402339
shakkei,fuji,0.4718076587
roji,chanoyu,0.6570928693
roji,chashitsu,0.6109750867
roji,tea,0.5388377309
roji,ceremony,0.5244190097
roji,murata,0.5243361592
roji,hiroma,0.5217068791
roji,nijiriguchi,0.5129363537
roji,rikyū,0.5064658523
roji,sadō,0.5063756704
roji,cha,0.5039181709
torii,myoujin,0.7148606181
torii,myōjin,0.689370513
torii,miwa,0.6588228345
torii,kasuga,0.6212379336
torii,shinmei,0.6203033328
torii,shrine,0.6178625226
torii,inari,0.6019476652
torii,taisha,0.5931606293
torii,daiwa,0.576877892
torii,straddle,0.5705754161
shimenawa,harvest,0.5702610612
shimenawa,buyer,0.5387544632
shimenawa,taiwan,0.4915218353
shimenawa,mechanically,0.4910778403
shimenawa,torii,0.455363214
shimenawa,rope,0.4513242841
shimenawa,mikoshi,0.4462876916
shimenawa,reed,0.4418285489
shimenawa,pack,0.4335088432
shimenawa,bolt,0.4292829037
tsuboniwa,machiya,0.5531796813
tsuboniwa,niwa,0.5448869467
tsuboniwa,doma,0.5197731256
tsuboniwa,tsubo,0.517344296
tsuboniwa,nedoko,0.5016360879
tsuboniwa,ken,0.4915396571
tsuboniwa,naka,0.4850044847
tsuboniwa,ochimune,0.4795028567
tsuboniwa,typical,0.472163707
tsuboniwa,washitsu,0.4714756906
byōbu,screen,0.6618836522
byōbu,fusuma,0.6114419699
byōbu,sato,0.6109973788
byōbu,kichō,0.6094703078
byōbu,opaque,0.5672230721
byōbu,hang,0.5453191996
byōbu,fold,0.5447161794
byōbu,painting,0.5446536541
byōbu,shōji,0.5396631956
byōbu,chōdai,0.5386705399
hisashi,moya,0.7542354465
hisashi,ken,0.679657042
hisashi,roofed,0.6462063789
hisashi,mokoshi,0.6316018701
hisashi,pent,0.6230369806
hisashi,nijūmon,0.5531622767
hisashi,chūjin,0.5507484674
hisashi,naiden,0.541021049
hisashi,core,0.5397960544
hisashi,honden,0.5370784998
haiden,heiden,0.6750906706
haiden,honden,0.60281533
haiden,kairō,0.5399894118
haiden,sannō,0.5200634599
haiden,hisashi,0.5154571533
haiden,rōmon,0.4998911619
haiden,shrine,0.4954176545
haiden,enshrine,0.4855692983
haiden,fukurō,0.4825742841
haiden,moya,0.4797298312
sandō,ura,0.8381468654
sandō,omote,0.7541808486
sandō,straddle,0.6100248694
sandō,komainu,0.5990278721
sandō,categorizee,0.5677515864
sandō,sōmon,0.4722152352
sandō,temizu,0.4526055455
