target,word,similarity
ma,ideal,0.6790118217
ma,neutral,0.6682495475
ma,vital,0.665554285
ma,remote,0.6650890708
ma,familiar,0.6641682982
ma,permanent,0.6639591455
ma,diffuse,0.6638391018
ma,emotional,0.6618983746
ma,mysterious,0.6596184969
ma,dense,0.6590406895
mu,ideal,0.6552336216
mu,remote,0.6461257339
mu,neutral,0.6430792809
mu,vital,0.6418892741
mu,permanent,0.6399342418
mu,diffuse,0.6395351887
mu,correct,0.6391304731
mu,valid,0.638332665
mu,mysterious,0.6375886202
mu,dense,0.6358305216
wabi,ideal,0.6515200138
wabi,familiar,0.6411247253
wabi,vital,0.6378264427
wabi,mysterious,0.6360613108
wabi,permanent,0.6334428787
wabi,neutral,0.6330521107
wabi,diffuse,0.632928133
wabi,remote,0.6327100992
wabi,dangerous,0.6321142912
wabi,indigenous,0.6304551959
sabi,ideal,0.6537396908
sabi,mysterious,0.6416945457
sabi,vital,0.64055264
sabi,dangerous,0.6382608414
sabi,neutral,0.6377505064
sabi,familiar,0.6375102997
sabi,spiritual,0.6359971166
sabi,remote,0.6357735395
sabi,permanent,0.6340505481
sabi,emotional,0.6329147816
wabi_sabi,ideal,0.660166502
wabi_sabi,mysterious,0.650618434
wabi_sabi,familiar,0.6446125507
wabi_sabi,vital,0.6436215639
wabi_sabi,neutral,0.6424917579
wabi_sabi,permanent,0.640850544
wabi_sabi,remote,0.6403133273
wabi_sabi,dangerous,0.6403095722
wabi_sabi,spiritual,0.6401247382
wabi_sabi,extreme,0.6386006474
en,ideal,0.6599510312
en,familiar,0.6582605839
en,permanent,0.6533511877
en,dense,0.6499790549
en,remote,0.6490904093
en,vital,0.6466200352
en,vista,0.6456913948
en,diffuse,0.6447290182
en,formal,0.6440458298
en,attract,0.6437510252
engawa,ideal,0.650473237
engawa,permanent,0.649387002
engawa,dense,0.6443942785
engawa,familiar,0.6433218718
engawa,remote,0.641753912
engawa,diffuse,0.6403702497
engawa,vista,0.6401964426
engawa,extreme,0.6372885704
engawa,vital,0.6368573904
engawa,essential,0.6368054152
shōji,permanent,0.6522352099
shōji,dense,0.6515512466
shōji,familiar,0.644099474
shōji,ideal,0.6431487799
shōji,rough,0.6414493322
shōji,remote,0.6397829056
shōji,diffuse,0.6395304799
shōji,vista,0.6394529939
shōji,uniform,0.6379749775
shōji,wooden,0.6377966404
fusuma,permanent,0.6377370358
fusuma,dense,0.6360256672
fusuma,ideal,0.6256405711
fusuma,uniform,0.6251460314
fusuma,familiar,0.624396801
